,carrier_name,number_of_shippments
0,BPOST_BE,255564.03225806452
1,BPOST_FR,19.307692307692307
2,BPOST_LU,2714.5
3,BRING_DK,9812.23076923077
4,BRING_SE,16872.19230769231
5,BRT_IT,34321.07692307692
6,BUDBEE_NL,28494.549019607843
7,CELERITAS_ES,86968.5
8,CHRONOPOST_FR,69292.23636363636
9,COLIS PRIVÉ_FR,66328.88461538461
10,CORREOS_ES,57395.63461538462
11,DHL_AT,5481.714285714285
12,DHL_BE,5362.777777777777
13,DHL_DE,843900.8840579711
14,DHL_DK,559.0588235294117
15,DHL_FR,2954.056603773585
16,DHL_IE,849.0196078431372
17,DHL_IT,725.1960784313726
18,DHL_NL,131633.9841269841
19,DHL_PL,228620.3392857143
20,DPD_AT,32021.515151515152
21,DPD_BE,34635.970588235294
22,DPD_DE,45971.30303030303
23,DPD_NL,15217.842105263158
24,DPD_PL,154871.72549019608
25,DWP_AT,5071.872727272727
26,DWP_BE,178.75
27,DWP_DE,186.55
28,DWP_DK,1718.4117647058824
29,DWP_ES,2.0
30,DWP_FI,1002.4807692307693
31,DWP_FR,192.17142857142858
32,DWP_NL,178.07142857142858
33,DWP_PL,3898.9622641509436
34,DWP_SE,1406.0217391304348
35,FEDEX_PL,16446.041666666668
36,FIETSKOERIERS_NL,1762.2051282051282
37,GLS_DE,79628.75
38,GLS_ES,904.5675675675676
39,GLS_HU,9254.916666666666
40,HERMES_DE,368373.6388888889
41,HERMES_GB,27462.346153846152
42,INPOST_PL,50415.666666666664
43,ITELLA_LT,5857.888888888889
44,LA POSTE_FR,235538.0
45,LA POSTE_NL,376.25
46,PACKETA_RO,11699.894736842105
47,POSTEITALIANE_IT,12155.29411764706
48,POSTI_FI,40670.17307692308
49,POSTNL_NL,117218.64705882352
50,POŠTA SLOVENIJE_SI,8256.019607843138
51,PROFESSIONAL PARCEL LOGISTICS_CZ,76826.43137254902
52,ROYAL MAIL_GB,584.4666666666667
53,SDA_IT,266961.87272727274
54,SLOVENSKÁ POŠTA_SK,18844.117647058825
55,SWISS POST_CH,425914.9166666667
56,UPS_GB,430.6458333333333
57,UPS_IT,42464.77181208054
58,UPS_PL,2091.090909090909
59,YODEL_GB,10456.875
60,ÖSTERREICHISCHE POST_AT,117903.55
61,ČESKÁ POŠTA_CZ,231.14285714285714
