city,ZIP,Tracking ID
AVENCHES,1580,1
Aadorf,8355,5
Aarau,5000,11
Aarau,5036,1
Aarau Rohr,5032,2
Aarberg,3270,5
Aarburg,4663,12
Aargau,8966,1
Aargau Wohlen,5610,1
Aarwangen,4912,2
Abtwil,9030,1
Abtwil Sg,9030,3
Adelboden,3715,1
Adetswil,8345,2
Adligenswil,6043,1
Adlikon B. Regensdorf,8106,4
Adliswil,8134,12
Adliswill,8134,2
Aesch,4147,3
Aesch Bl,4147,5
Aesch b. Neftenbach,8412,1
Aeschi So,4556,1
Aeugstertal,8914,1
Affoltern Am Albis,8910,2
Affoltern am Albis,8910,3
Agiez,1352,1
Agno,6982,1
Aigen im Mühlkreis,4160,1
Aigle,1860,19
Allaman,1165,1
Alle,2942,1
Allschwil,4123,13
Altdorf,6460,1
Altendorf,8852,4
Altnau,8595,1
Altstetten,8048,1
Altstätten,9450,1
Altstätten Sg,9450,8
Amlikon-Bissegg,8514,1
Amriswil,8580,1
Andelfingen,8450,1
Anières,1247,2
Appenzell,9050,1
Apples,1143,1
Aproz,1994,1
Aproz (Nendaz),1994,1
Arbedo,6517,1
Arbon,9320,11
Ardon,1957,1
Arisdorf,4422,1
Aristau,5628,1
Arlesheim,4144,3
Arosa,7050,1
Ascona,6612,1
Attiswil,4536,1
Au SG,9434,2
Au Sg,9434,2
Au Zh,8804,3
Augst Bl,4302,1
Autigny,1742,1
Avenches,1580,5
Avry-Devant-Pont,1644,1
BASEL,4057,1
BASEL,4058,1
Baar,6340,6
Bachenbülach,8184,1
Bad Hofgastein,5630,1
Bad Ragaz,7310,1
Bad Zurzach,5330,2
Baden,5400,9
Balgach,9436,1
Balstahl,4710,1
Balsthal,4710,4
Balterswil,8362,3
Balzers,9496,1
Bargen Be,3282,1
Basel,4001,1
Basel,4018,1
Basel,4051,15
Basel,4052,21
Basel,4053,32
Basel,4054,15
Basel,4055,27
Basel,4056,34
Basel,4057,61
Basel,4058,43
Basel,4059,2
Basel,4106,1
Basel Stadt,4055,1
Basel-Land,4123,1
Basel-Land,4133,1
Basel-Landschaft,4127,1
Basel-Stadt,4057,1
Baselland,4410,1
Bassersdorf,8303,9
Bauma,8494,1
Bavois,1372,1
Bazenheid,9602,1
Beckenried,6375,1
Bellach,4512,1
Bellevue,1293,5
Bellinzona,6500,5
Bellmund,2564,2
Belmont-sur-Lausanne,1092,2
Belp,3123,2
Benglen,8121,1
Benken Sg,8717,1
Bergdietikon,8962,1
Beringen,8222,4
Berlingen,8267,1
Bern,3004,8
Bern,3005,2
Bern,3006,12
Bern,3007,24
Bern,3008,11
Bern,3011,12
Bern,3012,5
Bern,3013,17
Bern,3014,13
Bern,3015,2
Bern,3018,29
Bern,3027,24
Bern,3032,1
Bern,3053,2
Bern,3065,2
Bern,3072,1
Bern,3095,1
Bern,3098,1
Bern,3122,1
Bern,3152,1
Bern,3322,1
Berneck,9442,3
Bernex,1233,4
Beromünster,6215,1
Bettlach,2544,1
Bettwiesen,9553,1
Bevaix,2022,1
Bex,1880,4
Biasca,6710,1
Biberist,4562,2
Biel,2502,1
Biel,2503,5
Biel,2504,2
Biel Bienne,2504,1
Biel-bienne,2504,2
Biel/Bienne,2502,5
Biel/Bienne,2503,2
Biel/Bienne,2504,2
Biel/bienne,2502,13
Biel/bienne,2503,18
Biel/bienne,2504,10
Bienne,2502,1
Bienne,2503,1
Bienne,2504,3
Biglen,3507,1
Billens,1681,1
Bilten,8865,4
Binningen,4102,12
Binz,8122,1
Bioggio,6934,1
Birmensdorf Zh,8903,2
Birmenstorf Ag,5413,1
Birr,5242,6
Birrhard,5244,1
Birrwil,5708,1
Birsfelden,4127,13
Blonay,1807,1
Blumenstein,3638,1
Bolligen,3065,3
Borex,1277,1
Bossonnens,1615,1
Boswil,5623,1
Bottighofen,8598,2
Bottmingen,4103,4
Boudevillers,2043,1
Boudry,2017,2
Bougy-Villars,1172,1
Bouveret,1897,3
Boveresse,2113,1
Breganzona,6932,1
Breitenbach,4226,1
Bremgarten,5620,1
Bremgarten AG,5620,1
Bremgarten Ag,5620,1
Bremgarten B. Bern,3047,3
Brig,3900,1
Brislach,4225,1
Brittnau,4805,1
Bronschhofen,9552,2
Brugg Ag,5200,3
Brunegg,5505,1
Brunnen,6440,4
Brügg,2555,1
Brügg BE,2555,1
Brügg Be,2555,1
Brüttelen,3237,1
Brüttisellen,8306,4
Bubendorf,4416,1
Buchberg,8454,1
Buchrain,6033,3
Buchs,9470,3
Buchs AG,5033,1
Buchs Sg,9470,5
Buchs ZH,8107,7
Buchs Zh,8107,4
Bulle,1630,13
Bulle,1635,1
Buochs,6374,1
Burg AG,5736,1
Burgdorf,3400,4
Bursins,1183,1
Bussigny,1030,11
Bussigny-Près-Lausanne,1030,2
Buttikon,8863,1
Buttikon SZ,8863,1
Buttisholz,6018,1
Buttwil,5632,1
Bäretswil,8344,2
Bätterkinden,3315,3
Bönigen B. Interlaken,3806,1
Bönigen bei Interlaken,3608,1
Bühler,9055,1
Bülach,8180,22
Bümpliz,3018,1
Bünzen,5624,1
Büren An Der Aare,3294,1
Büren an der Aare,3294,1
Bürglen Tg,8575,2
Büron,6233,2
Büsserach,4227,4
Bützberg,4922,2
Cadenazzo,6593,1
Cadro,6965,1
Capolago,6825,1
Carouge,1227,3
Carouge GE,1227,3
Carouge Ge,1227,21
Cartigny,1236,1
Castione,6532,2
Castrisch,7126,1
Cazis,7408,1
Cerniaz Vd,1682,1
Cernier,2053,1
Chailly-Montreux,1816,1
Chalais,3966,1
Cham,6330,5
Chambésy,1292,1
Champfèr,7512,1
Champlan,1971,1
Champvent,1443,1
Chancy,1284,1
Chardonne,1803,1
Chavanne-près-Renens,1022,2
Chavannes,1022,2
Chavannes-Près-Renens,1022,16
Chavannes-près-Renens,1022,11
Chavornay,1373,13
Cheiry,1529,1
Chernex,1822,3
Cheseaux-sur-Lausanne,1033,1
Chesières,1885,3
Chexbres,1071,2
Chez-le-Bart,2025,1
Chur,7000,19
Châtel-Saint-Denis,1618,2
Châtelaine,1219,10
Chéserex,1275,1
Chésopelloz,1720,3
Chêne Bourg,1225,2
Chêne-Bougeries,1224,3
Chêne-Bourg,1225,6
Clarens,1815,12
Claro,6702,2
Coffrane,2207,1
Cointrin,1216,2
Collombey,1868,4
Collonge-Bellerive,1245,3
Cologny,1223,3
Colombier,2013,2
Colombier Vd,1114,1
Conches,1231,1
Conthey,1964,1
Coppet,1296,4
Corcelles-Cormondrèche,2035,1
Corcelles-Près-Payerne,1562,1
Corminboeuf,1720,2
Cornaux Ne,2087,1
Corseaux,1802,1
Corsier (GE),1246,1
Corsier-Sur-Vevey,1804,1
Corsier-sur-Vevey,1804,1
Cortaillod,2016,2
Cossonay,1304,1
Cossonay-Ville,1304,5
Cossonay-ville,1304,2
Cottens Vd,1116,1
Courfaivre,2853,1
Cournillens,1721,1
Courrendlin,2830,1
Courroux,2822,1
Courtaman,1791,2
Cousset,1774,1
Couvet,2018,1
Crans-Près-Céligny,1299,1
Crans-montana,3963,1
Cressier,2088,1
Crissier,1023,20
Crête-À-L'oeil(Les Agettes),1992,1
Cudrefin,1588,1
Cugy,1053,2
Cugy VD,1053,2
Cugy Vd,1053,1
Céligny,1298,1
Dagmersellen,6252,2
Davos Wolfgang,7265,1
Davos platz,7270,1
Degersheim,9113,1
Deitingen,4543,1
Delemont,2800,2
Delémont,2800,8
Denges,1026,2
Derendingen,4552,3
Dettighofen,8505,1
Dielsdorf,8157,4
Diemtigen,3754,1
Diepoldsau,9444,1
Dierikon,6036,1
Dietikon,8953,35
Dietikon ZH,8953,1
Dietlikon,8305,3
Dinhard,8474,1
Dintikon,5606,1
Domat/Ems,7013,2
Domat/ems,7013,1
Domdidier,1564,1
Dompierre FR,1563,2
Dornach,4143,1
Dorénaz,1905,1
Dottikon,5605,6
Duillier,1266,1
Dulliken,4657,4
Dällikon,8108,2
Démoret,1415,2
Döttingen,5312,7
Dübendorf,8600,27
Düdingen,3186,2
Dürnten,8635,1
Ebikon,6030,4
Ebnat-Kappel,9642,1
Ebnat-Kappel SG,9642,1
Echallens,1040,4
Echichens,1112,2
Ecublens,1024,2
Ecublens VD,1024,2
Ecublens Vd,1024,18
Effretikon,8307,6
Egerkingen,4622,6
Egg B. Zürich,8132,1
Eglisau,8193,5
Ehrendingen,5420,1
Elgg,8353,2
Ellikon an der Thur,8548,1
Embrach,8424,6
Emmen,6032,7
Emmenbrucke,6020,1
Emmenbrücke,6020,13
Engelberg,6390,3
Engelburg,9032,1
Ennenda,8755,1
Ennetbaden,5408,1
Ennetbürgen,6373,1
Entlebuch,6162,1
Epalinges,1066,4
Erlenbach Zh,8703,1
Erlinsbach,5018,1
Erlinsbach So,5015,2
Ermatingen,8272,1
Ernetschwil,8725,1
Erschwil,4228,1
Ersigen,3423,1
Eschenbach SG,8733,1
Essertines-Sur-Yverdon,1417,1
Estavayer-le-Lac,1470,1
Etagnières,1037,1
Etoy,1163,3
Ettingen,4107,1
Ettiswil,6218,1
Evilard,2533,2
Evionnaz,1902,3
Eysins,1262,1
Fahrweid,8951,5
Faoug,1595,1
Fehraltorf,8320,1
Felben-Wellhausen,8552,2
Feuerthalen,8245,2
Fischbach-Göslikon,5525,1
Fislisbach,5442,1
Flaach,8416,1
Flawil,9230,6
Flums,8890,1
Flüh,4112,1
Fontainemelon,2052,1
Fontaines Ne,2046,1
Forel (Lavaux),1072,1
Founex,1297,2
Fraubrunnen,3312,1
Frauenfeld,8500,14
Frauenkappelen,3202,1
Frenkendorf,4402,6
Fribourg,1700,32
Fribourg,1746,1
