,carrier_tracking_number,Tracking ID,sk_claim_report_date,Date received,Country,Carrier,aviailable_claim_amount_euro,claimtype,claim_category,Category,Rejection,carrier_name,ZIP,city,TS_LAST_COT_EVENT,value_segment
1,,1034670500992110243207,,2022-08-22 10:49:18,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
4,,JJD149990200033211713,,2022-08-26 10:08:01,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
5,,JJD149990200034687681,,2022-08-29 09:05:46,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
8,,516659028456,,2022-08-30 07:50:28,AT,Post AT,,,,Return clarification,No Damage Images,,,,,
10,,517177273476,,2022-09-06 08:11:20,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
12,,CU001718226AT,,2022-09-13 11:14:48,AT,Post AT,,,,Return clarification,No Damage Images,,,,,
14,,1040305000333170764504,,2022-09-19 13:23:57,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
15,,517177283534,,2022-09-20 14:07:26,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
17,,516507398313,,2022-09-21 15:35:15,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
23,,517177267974,,2022-09-26 15:51:35,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
24,,CU035197921AT,,2022-09-27 10:48:15,AT,Post AT,,,,Return clarification,Other,,,,,
25,,514474104134,,2022-09-28 10:26:40,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
26,,CU047338136AT,,2022-10-04 08:14:24,AT,DHL Express,,,,Return clarification,No Damage Images,,,,,
29,,CU047798225AT,,2022-10-05 15:59:01,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
31,,516659421105,,2022-10-06 09:53:38,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
32,,517083033370,,2022-10-07 10:29:52,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
34,,CU047785540AT,,2022-10-07 14:23:27,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
40,,516486075181,,2022-10-13 13:56:19,AT,Post AT,,,,Return clarification,Zalando Mistake,,,,,
47,,996011722900317904,,2022-11-07 08:29:44,CH,Post CH,,,,Return clarification,Zalando Mistake,,,,,
48,,996014689000191867,,2022-11-08 08:37:39,CH,Post CH,,,,Return clarification,Other,,,,,
50,,1039339503741380790052,,2022-11-15 11:20:37,AT,Post AT,,,,Return clarification,Other,,,,,
55,,1041020246513570,,2022-08-18 14:58:57,AT,Post AT,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
56,,1028550006186960140400,,2022-09-07 14:31:59,AT,Post AT,,,,Return loss,Zalando Mistake,,,,,
62,,1033854059057290740055,,2022-10-04 14:19:28,AT,Post AT,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
67,,996013622501909787,,2022-10-17 13:18:27,CH,Post CH,,,,Return loss,Other,,,,,
71,,996007266076450602,,2022-10-19 13:58:56,CH,Post CH,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
72,,996014896411113958,,2022-10-25 17:21:30,CH,Post CH,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
73,,996014579700149521,,2022-10-27 17:05:04,CH,Post CH,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
76,,996014896411116722,,2022-11-03 08:45:44,CH,Post CH,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
78,,996014896411118879,,2022-11-07 07:56:37,CH,Post CH,,,,Return loss,Shipment delivered according to contract. No objection basis.,,,,,
83,,1036097000495880163303,,2022-08-25 14:21:36,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
89,,1028550006247400134004,,2022-08-29 11:35:46,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
98,,1038879000590770168502,,2022-09-05 07:58:58,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
100,,1038879000605660110308,,2022-09-05 08:21:06,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
104,,1038125000979320126403,,2022-09-08 11:17:38,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
116,,996010823300897885,,2022-09-14 15:55:05,CH,Post CH,,,,Shipping clarification,Zalando Mistake,,,,,
132,,1036770000526260257335,,2022-09-22 08:16:47,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
135,,1028607500393740210907,,2022-09-22 16:02:21,AT,Post AT,,,,Shipping clarification,Zalando Mistake,,,,,
137,,996014591700347699,,2022-09-23 09:04:07,CH,Post CH,,,,Shipping clarification,Zalando Mistake,,,,,
143,,1310000782303,,2022-09-27 10:12:49,AT,GLS,,,,Shipping clarification,Zalando Mistake,,,,,
155,,996007791545991896,,2022-09-29 07:56:44,CH,Post CH,,,,Shipping clarification,Zalando Mistake,,,,,
197,,JVGL0615537800126598,,2022-10-10 08:17:51,CH,Post CH,,,,Shipping clarification,Zalando Mistake,,,,,
247,,980610717600368147,,2022-10-20 13:18:35,CH,Post CH,,,,Shipping clarification,Other,,,,,
274,,1042331000103340252318,,2022-10-27 10:04:35,AT,Post AT,,,,Shipping clarification,Other,,,,,
278,,1034670501074130247805,,2022-10-28 07:54:15,AT,Post AT,,,,Shipping clarification,Other,,,,,
292,,CD343093643DE,,2022-10-31 09:51:56,AT,Post AT,,,,Shipping clarification,Other,,,,,
295,,1038879000786060111000,,2022-11-02 08:43:44,AT,Post AT,,,,Shipping clarification,No Damage Images,,,,,
363,,1038877005784140194234,,2022-08-30 07:57:34,AT,Post AT,,,,Shipment damage,Deadline expired,,,,,
407,,1039941006517980121308,,2022-09-13 11:54:11,AT,Post AT,,,,Shipment damage,No Damage Images,,,,,
822,,1040305000309830152806,,2022-08-24 12:30:45,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
830,,CE481058551DE,,2022-08-28 09:41:39,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
832,,1042331000053660250825,,2022-08-29 13:11:58,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
833,,CA992516778DE,,2022-08-30 07:47:03,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
834,,1028550006415520180519,,2022-08-30 07:52:23,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
842,,1028501002681540168509,,2022-09-05 07:57:11,AT,Post AT,,,,Shipment loss,No Damage Images,,,,,
845,,1042331000054470211204,,2022-09-06 08:39:28,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
850,,JVGL0615537800122597,,2022-09-08 09:43:32,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
851,,00008869154274765439,,2022-09-08 10:49:27,AT,DHL,,,,Shipment loss,Zalando Mistake,,,,,
855,,CE400748868DE,,2022-09-12 07:47:14,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
882,,996013622401970013,,2022-09-13 07:24:01,CH,Post CH,,,,Shipment loss,Zalando Mistake,,,,,
884,,996013537312071685,,2022-09-13 07:25:52,CH,Post CH,,,,Shipment loss,Zalando Mistake,,,,,
912,,CU540736432DE,,2022-09-13 09:19:17,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
989,,2422826711,,2022-09-14 11:04:21,AT,DHL Express,,,,Shipment loss,Safe place delivery,,,,,
1042,,CQ801470360DE,,2022-09-15 09:02:37,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
1072,,1035562503806810184620,,2022-09-15 14:17:27,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
1090,,996007791545953168,,2022-09-16 08:05:52,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,
1108,,1036097000515560160672,,2022-09-16 09:35:15,AT,Post AT,,,,Shipment loss,Other,,,,,
1156,,996008376523351364,,2022-09-19 07:53:00,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,
1170,,996009745956184602,,2022-09-19 08:07:01,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,
1176,,996007791545923673,,2022-09-19 08:21:57,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,
1234,,1028501002721840152010,,2022-09-19 15:55:12,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
1320,,996007791545912746,,2022-09-21 08:43:27,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,
1345,,1038879000638330140206,,2022-09-21 10:31:26,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
1366,,1041270000559270211100,,2022-09-21 18:58:50,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
1385,,JVGL0615537800125118,,2022-09-22 08:26:02,AT,Post AT,,,,Shipment loss,Zalando Mistake,,,,,
1397,,996007791545967207,,2022-09-22 09:07:49,CH,Post CH,,,,Shipment loss,No Damage Images,,,,,
